Migrating to Setup (1)
Migrating to IssueMove (2)
Migrating to IssueAddNote (3)
Migrating to ExportPdf (4)
Migrating to IssueStartDate (5)
Migrating to CalendarAndActivity (6)
Migrating to CreateJournals (7)
Migrating to CreateUserPreferences (8)
Migrating to AddHideMailPref (9)
Migrating to CreateComments (10)
Migrating to AddNewsCommentsCount (11)
Migrating to AddCommentsPermissions (12)
Migrating to CreateQueries (13)
Migrating to AddQueriesPermissions (14)
Migrating to CreateRepositories (15)
Migrating to AddRepositoriesPermissions (16)
Migrating to CreateSettings (17)
Migrating to SetDocAndFilesNotifications (18)
Migrating to AddIssueStatusPosition (19)
Migrating to AddRolePosition (20)
Migrating to AddTrackerPosition (21)
Migrating to SerializePossiblesValues (22)
Migrating to AddTrackerIsInRoadmap (23)
Migrating to AddRoadmapPermission (24)
Migrating to AddSearchPermission (25)
Migrating to AddRepositoryLoginAndPassword (26)
Migrating to CreateWikis (27)
Migrating to CreateWikiPages (28)
Migrating to CreateWikiContents (29)
Migrating to AddProjectsFeedsPermissions (30)
Migrating to AddRepositoryRootUrl (31)
Migrating to CreateTimeEntries (32)
Migrating to AddTimelogPermissions (33)
Migrating to CreateChangesets (34)
Migrating to CreateChanges (35)
Migrating to AddChangesetCommitDate (36)
Migrating to AddProjectIdentifier (37)
Migrating to AddCustomFieldIsFilter (38)
Migrating to CreateWatchers (39)
Migrating to CreateChangesetsIssues (40)
Migrating to RenameCommentToComments (41)
Migrating to CreateIssueRelations (42)
Migrating to AddRelationsPermissions (43)
Migrating to SetLanguageLengthToFive (44)
Migrating to CreateBoards (45)
Migrating to CreateMessages (46)
Migrating to AddBoardsPermissions (47)
Migrating to AllowNullVersionEffectiveDate (48)
Migrating to AddWikiDestroyPagePermission (49)
Migrating to AddWikiAttachmentsPermissions (50)
Migrating to AddProjectStatus (51)
Migrating to AddChangesRevision (52)
Migrating to AddChangesBranch (53)
Migrating to AddChangesetsScmid (54)
Migrating to AddRepositoriesType (55)
Migrating to AddRepositoriesChangesPermission (56)
Migrating to AddVersionsWikiPageTitle (57)
Migrating to AddIssueCategoriesAssignedToId (58)
Migrating to AddRolesAssignable (59)
Migrating to ChangeChangesetsCommitterLimit (60)
Migrating to AddRolesBuiltin (61)
Migrating to InsertBuiltinRoles (62)
Migrating to AddRolesPermissions (63)
Migrating to DropPermissions (64)
Migrating to AddSettingsUpdatedOn (65)
Migrating to AddCustomValueCustomizedIndex (66)
Migrating to CreateWikiRedirects (67)
Migrating to CreateEnabledModules (68)
Migrating to AddIssuesEstimatedHours (69)
Migrating to ChangeAttachmentsContentTypeLimit (70)
Migrating to AddQueriesColumnNames (71)
Migrating to AddEnumerationsPosition (72)
Migrating to AddEnumerationsIsDefault (73)
Migrating to AddAuthSourcesTls (74)
Migrating to AddMembersMailNotification (75)
Migrating to AllowNullPosition (76)
Migrating to RemoveIssueStatusesHtmlColor (77)
Migrating to AddCustomFieldsPosition (78)
Migrating to AddUserPreferencesTimeZone (79)
Migrating to AddUsersType (80)
Migrating to CreateProjectsTrackers (81)
Migrating to AddMessagesLocked (82)
Migrating to AddMessagesSticky (83)
Migrating to ChangeAuthSourcesAccountLimit (84)
Migrating to AddRoleTrackerOldStatusIndexToWorkflows (85)
Migrating to AddCustomFieldsSearchable (86)
Migrating to ChangeProjectsDescriptionToText (87)
Migrating to AddCustomFieldsDefaultValue (88)
Migrating to AddAttachmentsDescription (89)
Migrating to ChangeVersionsNameLimit (90)
Migrating to ChangeChangesetsRevisionToString (91)
Migrating to ChangeChangesFromRevisionToString (92)
Migrating to AddWikiPagesProtected (93)
Migrating to ChangeProjectsHomepageLimit (94)
Migrating to AddWikiPagesParentId (95)
Migrating to AddCommitAccessPermission (96)
Migrating to AddViewWikiEditsPermission (97)
Migrating to SetTopicAuthorsAsWatchers (98)
Migrating to AddDeleteWikiPagesAttachmentsPermission (99)
Migrating to AddChangesetsUserId (100)
Migrating to PopulateChangesetsUserId (101)
Migrating to AddCustomFieldsEditable (102)
Migrating to SetCustomFieldsEditable (103)
Migrating to AddProjectsLftAndRgt (104)
Migrating to BuildProjectsTree (105)
Migrating to RemoveProjectsProjectsCount (106)
Migrating to AddOpenIdAuthenticationTables (107)
Migrating to AddIdentityUrlToUsers (108)
Migrating to AddWatchersUserIdTypeIndex (20090214190337)
Migrating to AddQueriesSortCriteria (20090312172426)
Migrating to AddProjectsTrackersUniqueIndex (20090312194159)
Migrating to ExtendSettingsName (20090318181151)
Migrating to AddTypeToEnumerations (20090323224724)
Migrating to UpdateEnumerationsToSti (20090401221305)
Migrating to AddActiveFieldToEnumerations (20090401231134)
Migrating to AddProjectToEnumerations (20090403001910)
Migrating to AddParentIdToEnumerations (20090406161854)
Migrating to AddQueriesGroupBy (20090425161243)
Migrating to CreateMemberRoles (20090503121501)
Migrating to PopulateMemberRoles (20090503121505)
Migrating to DropMembersRoleId (20090503121510)
Migrating to FixMessagesStickyNull (20090614091200)
Migrating to PopulateUsersType (20090704172350)
Migrating to CreateGroupsUsers (20090704172355)
Migrating to AddMemberRolesInheritedFrom (20090704172358)
Migrating to FixUsersCustomValues (20091010093521)
Migrating to AddMissingIndexesToWorkflows (20091017212227)
Migrating to AddMissingIndexesToCustomFieldsProjects (20091017212457)
Migrating to AddMissingIndexesToMessages (20091017212644)
Migrating to AddMissingIndexesToRepositories (20091017212938)
Migrating to AddMissingIndexesToComments (20091017213027)
Migrating to AddMissingIndexesToEnumerations (20091017213113)
Migrating to AddMissingIndexesToWikiPages (20091017213151)
Migrating to AddMissingIndexesToWatchers (20091017213228)
Migrating to AddMissingIndexesToAuthSources (20091017213257)
Migrating to AddMissingIndexesToDocuments (20091017213332)
Migrating to AddMissingIndexesToTokens (20091017213444)
Migrating to AddMissingIndexesToChangesets (20091017213536)
Migrating to AddMissingIndexesToIssueCategories (20091017213642)
Migrating to AddMissingIndexesToMemberRoles (20091017213716)
Migrating to AddMissingIndexesToBoards (20091017213757)
Migrating to AddMissingIndexesToUserPreferences (20091017213835)
Migrating to AddMissingIndexesToIssues (20091017213910)
Migrating to AddMissingIndexesToMembers (20091017214015)
Migrating to AddMissingIndexesToCustomFields (20091017214107)
Migrating to AddMissingIndexesToQueries (20091017214136)
Migrating to AddMissingIndexesToTimeEntries (20091017214236)
Migrating to AddMissingIndexesToNews (20091017214308)
Migrating to AddMissingIndexesToUsers (20091017214336)
Migrating to AddMissingIndexesToAttachments (20091017214406)
Migrating to AddMissingIndexesToWikiContents (20091017214440)
